label	cell_type
SC_96330_32_64	cHF	FB
SC_96330_29_14	cHF	EC
SC_96330_30_29	cHF	EC
SC_96330_27_39	cHF	EC
SC_96330_32_21	cHF	MP
SC_96330_63_54	cHF	SMC
SC_96330_35_23	cHF	MP
SC_96330_64_17	cHF	EC
SC_96330_67_24	cHF	FB
SC_96330_67_34	cHF	EC
SC_96330_32_47	cHF	EC
SC_96330_67_40	cHF	EC
SC_96330_65_56	cHF	SMC
SC_96330_69_9	cHF	EC
SC_96330_64_35	cHF	EC
SC_96330_70_57	cHF	SMC
SC_96330_66_24	cHF	SMC
SC_96330_69_32	cHF	MP
SC_96330_31_16	cHF	EC
SC_96330_68_9	cHF	EC
SC_96330_31_12	cHF	EC
SC_96330_66_30	cHF	EC
SC_96330_66_47	cHF	SMC
SC_96330_28_46	cHF	SMC
SC_96330_70_56	cHF	SMC
SC_96330_66_46	cHF	EC
SC_96330_30_19	cHF	EC
SC_96330_67_7	cHF	SMC
SC_96330_70_7	cHF	EC
SC_96330_29_4	cHF	EC
SC_96330_33_3	cHF	EC
SC_96330_35_43	cHF	EC
SC_96330_32_71	cHF	EC
SC_96330_64_3	cHF	MP
SC_96330_68_4	cHF	MP
SC_96330_35_4	cHF	EC
SC_96330_64_55	cHF	EC
SC_96330_32_60	cHF	MP
SC_96330_65_25	cHF	EC
SC_96330_67_63	cHF	MP
SC_96330_66_10	cHF	EC
SC_96359_54_46	cHF	CM
SC_96359_34_37	cHF	EC
SC_96359_54_37	cHF	CM
SC_96359_70_49	cHF	MP
SC_96359_58_6	cHF	CM
SC_96359_22_56	cHF	CM
SC_96359_69_27	cHF	MP
SC_96359_29_29	cHF	EC
SC_96359_27_64	cHF	EC
SC_96359_33_35	cHF	EC
SC_96359_27_63	cHF	EC
SC_96359_35_56	cHF	EC
SC_96359_63_53	cHF	EC
SC_96359_33_5	cHF	FB
SC_96359_33_54	cHF	EC
SC_96359_30_58	cHF	EC
SC_96359_27_52	cHF	SMC
SC_96359_26_0	cHF	CM
SC_96359_59_39	cHF	CM
SC_96359_27_58	cHF	FB
SC_96359_66_8	cHF	SMC
SC_96359_69_31	cHF	FB
SC_96359_64_10	cHF	FB
SC_96359_35_7	cHF	EC
SC_96359_67_61	cHF	MP
SC_96359_57_39	cHF	CM
SC_96359_60_1	cHF	CM
SC_96359_63_16	cHF	SMC
SC_96359_35_54	cHF	SMC
SC_96359_33_6	cHF	EC
SC_96359_59_47	cHF	CM
SC_96359_62_9	cHF	CM
SC_96359_55_58	cHF	CM
SC_96359_23_9	cHF	CM
SC_96359_33_45	cHF	EC
SC_96359_60_9	cHF	CM
SC_96359_29_35	cHF	EC
SC_96359_63_0	cHF	EC
SC_96359_31_56	cHF	MP
SC_96359_26_41	cHF	CM
SC_96359_65_66	cHF	EC
SC_96359_32_13	cHF	EC
SC_96359_21_56	cHF	CM
SC_96359_29_21	cHF	EC
SC_96359_27_48	cHF	EC
SC_96359_65_0	cHF	FB
SC_96359_71_41	cHF	EC
SC_96359_69_1	cHF	FB
SC_96359_71_43	cHF	EC
SC_96359_29_9	cHF	EC
